GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Providence Core,net.morimekta.providence.descriptor,PService,0,66,0,4,0,18,0,10,0,8
Providence Core,net.morimekta.providence.descriptor,PEnumDescriptorProvider,0,9,0,0,0,4,0,2,0,2
Providence Core,net.morimekta.providence.descriptor,PContainerProvider,0,9,0,0,0,4,0,2,0,2
Providence Core,net.morimekta.providence.descriptor,PSet.LinkedHashSetBuilder,0,31,0,0,0,10,0,5,0,5
Providence Core,net.morimekta.providence.descriptor,PUnionDescriptorProvider,0,3,0,0,0,1,0,1,0,1
Providence Core,net.morimekta.providence.descriptor,PList.ImmutableListBuilder,0,29,0,0,0,10,0,5,0,5
Providence Core,net.morimekta.providence.descriptor,PExceptionDescriptor,0,9,0,0,0,3,0,2,0,2
Providence Core,net.morimekta.providence.descriptor,PSet,0,84,1,3,0,17,1,12,0,11
Providence Core,net.morimekta.providence.descriptor,PMap.ImmutableMapBuilder,0,30,0,0,0,10,0,5,0,5
Providence Core,net.morimekta.providence.descriptor,PMap,0,122,2,6,0,23,2,14,0,12
Providence Core,net.morimekta.providence.descriptor,PExceptionDescriptorProvider,0,3,0,0,0,1,0,1,0,1
Providence Core,net.morimekta.providence.descriptor,PStructDescriptor,0,9,0,0,0,3,0,2,0,2
Providence Core,net.morimekta.providence.descriptor,PMap.LinkedHashMapBuilder,0,31,0,0,0,10,0,5,0,5
Providence Core,net.morimekta.providence.descriptor,PList,0,76,1,3,0,15,1,10,0,9
Providence Core,net.morimekta.providence.descriptor,PMessageDescriptorProvider,0,3,0,0,0,1,0,1,0,1
Providence Core,net.morimekta.providence.descriptor,PMap.ImmutableSortedMapBuilder,0,30,0,0,0,10,0,5,0,5
Providence Core,net.morimekta.providence.descriptor,PUnionDescriptor,0,9,0,0,0,3,0,2,0,2
Providence Core,net.morimekta.providence.descriptor,PDeclaredDescriptor,0,39,0,2,0,10,0,6,0,5
Providence Core,net.morimekta.providence.descriptor,PStructDescriptorProvider,0,3,0,0,0,1,0,1,0,1
Providence Core,net.morimekta.providence.descriptor,PField,0,45,0,2,0,12,0,3,0,2
Providence Core,net.morimekta.providence.descriptor,PRequirement,9,57,0,0,0,9,2,2,2,2
Providence Core,net.morimekta.providence.descriptor,PSet.ImmutableSetBuilder,0,29,0,0,0,10,0,5,0,5
Providence Core,net.morimekta.providence.descriptor,PMessageDescriptor,0,145,3,15,0,26,3,13,0,7
Providence Core,net.morimekta.providence.descriptor,PContainer,0,15,0,0,0,6,0,4,0,4
Providence Core,net.morimekta.providence.descriptor,PEnumDescriptor,0,100,2,14,0,21,2,13,0,7
Providence Core,net.morimekta.providence.descriptor,PDescriptor,0,4,0,0,0,1,0,1,0,1
Providence Core,net.morimekta.providence.descriptor,PDefaultValueProvider,0,29,1,3,0,9,1,5,0,4
Providence Core,net.morimekta.providence.descriptor,PPrimitive,0,218,10,33,0,34,10,32,0,12
Providence Core,net.morimekta.providence.descriptor,PSet.ImmutableSortedSetBuilder,0,29,0,0,0,10,0,5,0,5
Providence Core,net.morimekta.providence.descriptor,PPrimitiveProvider,0,9,0,0,0,4,0,2,0,2
Providence Core,net.morimekta.providence.serializer.json,JsonCompactibleDescriptor,0,2,0,0,0,1,0,1,0,1
Providence Core,net.morimekta.providence,PApplicationException,385,0,61,0,83,0,56,0,24,0
Providence Core,net.morimekta.providence,PServiceCallType._Builder,25,0,2,0,7,0,6,0,5,0
Providence Core,net.morimekta.providence,PServiceCallType._Descriptor,17,0,0,0,5,0,4,0,4,0
Providence Core,net.morimekta.providence,PMessageVariant,52,0,0,0,5,0,5,0,5,0
Providence Core,net.morimekta.providence,PApplicationException._Builder,427,0,47,0,95,0,52,0,26,0
Providence Core,net.morimekta.providence,PServiceCallType,153,0,23,0,29,0,28,0,12,0
Providence Core,net.morimekta.providence,PApplicationExceptionType._Builder,25,0,2,0,7,0,6,0,5,0
Providence Core,net.morimekta.providence,PMessageBuilderFactory,3,0,0,0,1,0,1,0,1,0
Providence Core,net.morimekta.providence,PApplicationExceptionType._Factory,7,0,0,0,2,0,2,0,2,0
Providence Core,net.morimekta.providence,PServiceCallType._Factory,7,0,0,0,2,0,2,0,2,0
Providence Core,net.morimekta.providence,PApplicationException._Descriptor,18,0,0,0,5,0,4,0,4,0
Providence Core,net.morimekta.providence,PEnumBuilderFactory,3,0,0,0,1,0,1,0,1,0
Providence Core,net.morimekta.providence,PApplicationExceptionType._Descriptor,17,0,0,0,5,0,4,0,4,0
Providence Core,net.morimekta.providence,PApplicationException._Field,135,0,17,0,25,0,23,0,13,0
Providence Core,net.morimekta.providence,PMessage,22,0,0,0,4,0,4,0,4,0
Providence Core,net.morimekta.providence,PType,178,0,0,0,19,0,5,0,5,0
Providence Core,net.morimekta.providence,PServiceCall,123,0,14,0,25,0,15,0,8,0
Providence Core,net.morimekta.providence,PApplicationException._Factory,7,0,0,0,2,0,2,0,2,0
Providence Core,net.morimekta.providence,PClient,13,0,0,0,4,0,2,0,2,0
Providence Core,net.morimekta.providence,PMessageBuilder,57,0,0,0,13,0,9,0,9,0
Providence Core,net.morimekta.providence,PApplicationExceptionType,314,0,58,0,50,0,56,0,12,0
Providence Core,net.morimekta.providence,PApplicationException._Provider,5,0,0,0,2,0,2,0,2,0
Providence Core,net.morimekta.providence,PEnumBuilder,3,0,0,0,1,0,1,0,1,0
Providence Core,net.morimekta.providence,PProcessor,6,0,0,0,1,0,1,0,1,0
Providence Core,net.morimekta.providence.serializer.rw,BinaryType.new Object() {...},14,89,0,0,0,1,0,1,0,1
Providence Core,net.morimekta.providence.serializer.rw,BinaryFormatUtils.new Object() {...},14,89,0,0,0,1,0,1,0,1
Providence Core,net.morimekta.providence.serializer.rw,BinaryType,13,75,1,28,1,31,1,29,0,3
Providence Core,net.morimekta.providence.serializer.rw,BinaryFormatUtils.FieldInfo,0,32,0,0,0,7,0,4,0,4
Providence Core,net.morimekta.providence.serializer.rw,BinaryFormatUtils,83,680,20,79,15,156,17,52,1,7
Providence Core,net.morimekta.providence.streams,MessageStreams.BaseMessageSpliterator,6,19,0,2,3,8,3,5,3,4
Providence Core,net.morimekta.providence.streams,MessageStreams,25,58,1,1,7,8,3,5,2,5
Providence Core,net.morimekta.providence.streams,MessageStreams.StreamMessageSpliterator,59,72,4,8,13,17,4,5,1,2
Providence Core,net.morimekta.providence.streams,MessageCollectors,103,115,2,4,18,27,5,11,3,10
Providence Core,net.morimekta.providence.serializer,Serializer,0,12,0,2,0,4,0,3,0,2
Providence Core,net.morimekta.providence.serializer,SerializerProvider,4,0,0,0,1,0,1,0,1,0
Providence Core,net.morimekta.providence.serializer,JsonSerializer.IdType,9,29,0,0,0,3,2,2,2,2
Providence Core,net.morimekta.providence.serializer,JsonSerializer,664,1592,59,182,97,327,47,111,1,24
Providence Core,net.morimekta.providence.serializer,FastBinarySerializer,410,807,49,86,84,166,40,57,4,10
Providence Core,net.morimekta.providence.serializer,BinarySerializer,17,351,3,21,2,78,3,18,0,9
Providence Core,net.morimekta.providence.serializer,BaseSerializerProvider,0,61,0,4,0,12,0,6,0,4
Providence Core,net.morimekta.providence.serializer,JsonSerializer.new Object() {...},14,89,0,0,0,1,0,1,0,1
Providence Core,net.morimekta.providence.serializer,FastBinarySerializer.new Object() {...},14,89,0,0,0,1,0,1,0,1
Providence Core,net.morimekta.providence.serializer,PrettySerializer.new Object() {...},18,117,0,0,0,2,0,1,0,1
Providence Core,net.morimekta.providence.serializer,PrettySerializer,1050,1000,129,132,149,237,95,72,5,15
Providence Core,net.morimekta.providence.serializer,SerializerException,58,87,4,4,11,24,5,12,2,11
Providence Core,net.morimekta.providence.serializer,DefaultSerializerProvider,0,62,0,0,0,11,0,4,0,4
Providence Core,net.morimekta.providence.serializer,Serializer.new Object() {...},2,17,0,0,0,1,0,1,0,1
Providence Core,net.morimekta.providence.util,PrettyPrinter,9,34,0,0,3,6,1,3,1,3
Providence Core,net.morimekta.providence.util,TypeRegistry,189,307,29,39,23,61,26,20,3,9
Providence Core,net.morimekta.providence.util,LogFormatter,329,223,50,25,86,56,30,18,1,8
Providence Core,net.morimekta.providence.util,ProvidenceHelper,15,38,1,1,2,7,2,4,1,4
Providence Core,net.morimekta.providence.util,LogFormatter.new Object() {...},5,35,0,0,0,1,0,1,0,1
Providence Core,net.morimekta.providence.util.pretty,TokenizerException,216,0,12,0,53,0,21,0,15,0
Providence Core,net.morimekta.providence.util.pretty,Tokenizer,633,695,107,169,124,166,87,69,5,13
Providence Core,net.morimekta.providence.util.pretty,Token,226,196,26,23,34,49,26,19,9,8
Providence Core,net.morimekta.providence.mio,IOMessageWriter,0,40,0,2,0,12,0,6,0,5
Providence Core,net.morimekta.providence.mio,FileMessageReader,6,50,1,3,0,14,1,6,0,5
Providence Core,net.morimekta.providence.mio,FileMessageWriter,6,77,1,5,0,22,1,9,0,7
Providence Core,net.morimekta.providence.mio,IOMessageReader,0,27,0,0,0,8,0,4,0,4
