GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Providence Utils : Storage,net.morimekta.providence.storage.dir,DefaultFileManager,75,108,4,10,8,20,4,8,0,5
Providence Utils : Storage,net.morimekta.providence.storage,MessageListReadOnlyStore,0,33,0,0,0,5,0,4,0,4
Providence Utils : Storage,net.morimekta.providence.storage,MessageStore,0,63,0,0,0,9,0,6,0,6
Providence Utils : Storage,net.morimekta.providence.storage,DirectoryMessageStore,196,312,24,14,8,60,17,20,1,17
Providence Utils : Storage,net.morimekta.providence.storage,MessageReadOnlyStore,0,33,0,0,0,5,0,4,0,4
Providence Utils : Storage,net.morimekta.providence.storage,MessageListStore,0,62,0,0,0,9,0,6,0,6
Providence Utils : Storage,net.morimekta.providence.storage,MessageStoreUtils,7,35,1,7,2,15,2,7,1,4
Providence Utils : Storage,net.morimekta.providence.storage,InMemoryMessageStore,0,158,0,12,0,29,0,17,0,11
Providence Utils : Storage,net.morimekta.providence.storage,InMemoryMessageListStore,0,160,1,11,0,29,1,16,0,11
Providence Utils : Storage,net.morimekta.providence.storage,DirectoryMessageListStore,89,267,4,6,11,56,3,20,0,18
